Exercise_ID,Exercise_Name,Category,Equipment,Tracking_Mode,Movement_Type,Rotational,Active,Description,Notes
EX0001,Deadlift (Barbell),Compound,Barbell,Reps,Bilateral,False,False,,
EX0002,Pull Ups - Stomach to Bar,Compound,Body weight,Reps,Bilateral,False,False,,
EX0003,Tibia Raises; both (Dumbbell),Isolation,Dumbbell,Reps,Bilateral,False,False,,
EX0004,T-Bar Row (Machine),Isolation,Machine,Reps,Bilateral,False,False,,
EX0005,Preacher Curl; single (Dumbbell),Isolation,Dumbbell,Reps,Unilateral,False,False,,
EX0006,Cable Crunch,Isolation,Cables,Reps,Bilateral,False,False,,
EX0007,Decline Push Up - Hands Raised,Compound,Body weight,Reps,Bilateral,False,False,,
EX0008,Standing Calf Raise; both (Machine),Isolation,Machine,Reps,Bilateral,False,False,,
EX0009,Cable Chest Crossover,Isolation,Cables,Reps,Bilateral,False,False,,
EX0010,Reverse Hyperextension,Isolation,Body weight,Reps,Bilateral,False,False,,
EX0011,Overhead Cable Tricep Extension; both,Isolation,Cables,Reps,Bilateral,False,False,,
EX0012,Behind Body Cable Lateral Raise; side,Isolation,Cables,Reps,Unilateral,False,False,,
EX0013,Back Squat (Barbell),Compound,Barbell,Reps,Bilateral,False,True,,
EX0014,Bulgarian Split Squats - Glute Focus (Dumbbell),Compound,Dumbbell,Reps,Bilateral,False,False,,
EX0015,Hanging Knee Raise,Isolation,Body weight,Reps,Bilateral,False,False,,
EX0016,Side Lunge (Dumbbell),Compound,Dumbbell,Reps,Bilateral,False,False,,
EX0017,Bench Press (Barbell),Compound,Barbell,Reps,Bilateral,False,False,,
EX0018,Bent Over Row (Barbell),Compound,Barbell,Reps,Bilateral,False,False,,
EX0019,Dips - Chest Focused,Compound,Body weight,Reps,Bilateral,False,False,,
EX0020,Incline Bench Press (Dumbbell),Compound,Dumbbell,Reps,Bilateral,False,False,,
EX0021,Standing Calf Raises; single - Knee Bent (Barbell),Isolation,Barbell,Reps,Unilateral,False,False,,
EX0022,Tricep Cable Drag Pushdown; both,Isolation,Cables,Reps,Bilateral,False,False,,
EX0023,Bicep Curls; single (Dumbbell),Isolation,Dumbbell,Reps,Unilateral,False,False,,
EX0024,Seated Knee Tucks,Isolation,Body weight,Reps,Bilateral,False,False,,
EX0025,Cross Body Hammer Curls; single (Dumbbell),Isolation,Dumbbell,Reps,Unilateral,False,False,,
EX0026,Front Squat (Barbell),Compound,Barbell,Reps,Bilateral,False,False,,
EX0027,Lunge - Forward Upper Body Lean (Dumbbell),Compound,Dumbbell,Reps,Bilateral,False,False,,
EX0028,Seated Calf Raise; both (Machine),Isolation,Machine,Reps,Bilateral,False,False,,
EX0029,Standing Overhead Press (Barbell),Compound,Barbell,Reps,Bilateral,False,False,,
EX0030,Overhead Push Press (Barbell),Compound,Barbell,Reps,Bilateral,False,False,,
EX0031,Bosu Ball Balance Hold; single - Calf Raised,Compound,Other,Time,Unilateral,False,False,,
EX0032,Reverse Fly (Machine),Isolation,Machine,Reps,Bilateral,False,True,,
EX0033,Standing Calf Raise; single (Dumbbell),Isolation,Dumbbell,Reps,Unilateral,False,False,,
EX0034,Decline Push Up,Compound,Body weight,Reps,Bilateral,False,False,,
EX0035,Ring Push Up,Compound,Other,Reps,Bilateral,False,False,,
EX0036,Decline Ring Push Up,Compound,Other,Reps,Bilateral,False,False,,
EX0037,Tibia Raises; single (Dumbbell),Isolation,Dumbbell,Reps,Unilateral,False,False,,
EX0038,Pull Ups,Compound,Body weight,Reps,Bilateral,False,False,,
EX0039,Seated Calf Raise; single (Machine),Isolation,Machine,Reps,Unilateral,False,False,,
EX0040,Tricep Cable Drag Pushdown; single,Isolation,Cables,Reps,Unilateral,False,False,,
EX0041,Scapular Pull Up; both,Isolation,Body weight,Reps,Bilateral,False,False,,
EX0042,Seated Leg Lifts; single,Isolation,Body weight,Reps,Unilateral,False,False,,
EX0043,Seated Leg Lifts; both,Isolation,Body weight,Reps,Bilateral,False,False,,
EX0044,Incline Curl; both (Dumbbell),Isolation,Dumbbell,Reps,Bilateral,False,False,,
EX0045,Shoulder Press - Standing (Dumbbell),Compound,Dumbbell,Reps,Bilateral,False,False,,
EX0046,Shoulder Press - Seated (Dumbbell),Isolation,Dumbbell,Reps,Bilateral,False,False,,
EX0047,T-Bar Kelso Shrugs (Machine),Isolation,Machine,Reps,Bilateral,False,False,,
EX0048,Leg Extension; both (Machine),Isolation,Machine,Reps,Bilateral,False,False,,
EX0049,Leg Extension; single (Machine),Isolation,Machine,Reps,Unilateral,False,False,,
EX0050,Dragon Flag,Compound,Body weight,Reps,Bilateral,False,False,,
EX0051,Dips - Tricep Focused,Compound,Body weight,Reps,Bilateral,False,False,,
EX0052,Hyperextension,Isolation,Body weight,Reps,Bilateral,False,False,,
EX0053,Nordic Curls,Isolation,Body weight,Reps,Bilateral,False,False,,
EX0054,Belt Squat - Quad Focused,Compound,Machine,Reps,Bilateral,False,True,,
EX0055,Incline Bench Press (Barbell),Compound,Barbell,Reps,Bilateral,False,False,,
EX0056,Bulgarian Split Squats - Quad Focused (Dumbbell),Compound,Dumbbell,Reps,Bilateral,False,False,,
EX0057,Hip Thrust (Machine),Isolation,Machine,Reps,Bilateral,False,False,,
EX0058,Facedown Kelso Shrugs (Machine),Isolation,Machine,Reps,Bilateral,False,False,,
EX0059,Belt Squat - Glute Focused,Compound,Machine,Reps,Bilateral,False,False,,
EX0060,Single Leg Squat - Glute Focused (Machine),Isolation,Machine,Reps,Unilateral,False,False,,
EX0061,Face Pulls; both (Machine),Isolation,Machine,Reps,Bilateral,False,False,,
EX0062,Face Pulls; single (Machine),Isolation,Machine,Reps,Unilateral,False,False,,
