Table,Column,Type,Stored,Allowed_Values,Format_Or_Rule,Description
general_areas,Area_ID,string (PK),Yes,,MA0001…,Stable key for a canonical body region.
general_areas,Area_Name,string,Yes,Lower legs; Upper legs; Core; Lower back; Upper back; Shoulders; Chest; Arms; Forearms,,Display name of the body region.
general_areas,Display_Order,integer,Yes,,,Head-to-toe ordering for UI (1=Lower legs … 9=Forearms).
muscle_groups,Group_ID,string (PK),Yes,,MG0001…,Stable key for a muscle group.
muscle_groups,Group_Name,string,Yes,,,Display name of the muscle group.
muscle_groups,Group_Nickname,string,Yes,,,Short label for tight UI.
muscle_groups,Default_Area_ID,string (FK → general_areas.Area_ID),Yes,,,The group's USUAL area. Not authoritative: a muscle's own Area_ID wins (e.g. Erector Spinae/QL sit in Lower back though their Abdominals group defaults to Core).
muscle_groups,Display_Order,integer,Yes,,,Head-to-toe ordering for UI.
muscles,Muscle_ID,string (PK),Yes,,MU0001…,Stable key for a specific muscle. Never join on names.
muscles,Specific_Muscle,string,Yes,,,Display name of the specific muscle.
muscles,Nickname,string,Yes,,,Short label for tight UI.
muscles,Function,enum,Yes,Propulsion; Stability,,"Inherent, exercise-INDEPENDENT character of the muscle: Propulsion = built to produce force; Stability = built to control position / transfer force. NOT the same as exercise_muscle.Muscle_Role — a Function=Propulsion muscle can still act as a Stabilizer in a given lift. Belongs to the muscle, not the exercise. (P-18: confirm it earns its keep once the fatigue model exists.)"
muscles,Group_ID,string (FK → muscle_groups.Group_ID),Yes,,,Muscle group this muscle belongs to.
muscles,Area_ID,string (FK → general_areas.Area_ID),Yes,,,AUTHORITATIVE body area for this muscle (overrides the group's Default_Area_ID).
muscles,Head_To_Toe_Order,number,Yes,,,"Ordering for UI, head-to-toe."
exercises,Exercise_ID,string (PK),Yes,,EX0001…,Stable key for an exercise. Names are display-only and may change freely.
exercises,Exercise_Name,string,Yes,,Exercise; single/both - Variation - (Equip),Display name. Follows the naming format so variants read consistently.
exercises,Category,enum,Yes,Compound; Isolation; Plyometric,,Movement classification.
exercises,Equipment,enum,Yes,Barbell; Dumbbell; Cables; Machine; Body weight; Other,,Physical kit used. NOTE: 'Time' is NOT equipment — how an exercise is measured lives in Tracking_Mode (D-23).
exercises,Tracking_Mode,enum,Yes,Reps; Time,default Reps; single value per exercise; Distance reserved for later,How the exercise is measured & progressed. Reps → log weight×reps×RIR; Time → log duration. Logging/progression behavior is a Phase 5 concern.
exercises,Movement_Type,enum,Yes,Unilateral; Bilateral; Contralateral; Ipsilateral,,Limb/movement symmetry.
exercises,Rotational,boolean,Yes,True; False,,Whether the movement is rotational.
exercises,Active,boolean,Yes,True; False,,Whether the exercise is in current rotation (from the old 'Current Use Tag' = x).
exercises,Description,string,Yes,,,"What the movement IS and how it differs from look-alikes (anchor point, ROM, focus) — e.g. reverse hyper = upper body anchored vs hyper = lower body anchored. Distinct from Notes; planner can surface it as a tooltip. Filled opportunistically; disambiguation-critical ones before re-analysis (D-26)."
exercises,Notes,string,Yes,,,Optional free-text catch-all.
exercise_muscle,EM_ID,integer (PK),Yes,,,Surrogate key for a fact row.
exercise_muscle,Exercise_ID,string (FK → exercises.Exercise_ID),Yes,,,Exercise side of the relationship (filled on every row).
exercise_muscle,Muscle_ID,string (FK → muscles.Muscle_ID),Yes,,,Muscle side of the relationship.
exercise_muscle,Muscle_Role,enum,Yes,Primary; Secondary; Stabilizer,,Role the muscle plays in THIS exercise — varies lift to lift. Distinct from the muscle's inherent muscles.Function.
exercise_muscle,Intensity_Value,integer,Yes,1–10,1 = floor (minimally involved); never 0,Training-stress contribution — the truth. Text labels are derived from this.
exercise_muscle,Intensity_Source,enum,Yes,Group; Specific,,Provenance. Group = value inherited across ≥2 heads of a group (not yet differentiated). Specific = value stands alone for this muscle.
exercise_muscle,Contraction_Type,enum,Yes,Isotonic; Isometric,,Isotonic = doing dynamic work; Isometric = holding position under load.
exercise_muscle,Notes,string,Yes,,,Rationale for the row.
exercises,Main_Muscle,derived,No,,,Highest-Intensity_Value row with Muscle_Role='Primary' for the exercise (exercise_muscle → muscles). Reads 'not yet analyzed' when the exercise has no fact rows.
exercises,Main_Muscle_Group_Nickname,derived,No,,,Group_Nickname of the main muscle's group.
exercise_muscle,Intensity_Label,derived,No,Low; Moderate; High,cutoffs TBD (P-03),Text band derived from Intensity_Value via fixed cutoffs.
exercise_muscle,Muscle_Group / Muscle_Area,derived,No,,,Group & area for a fact row — follow Muscle_ID → muscles.
